순위,채널명,태그,일일_신규구독자,전체구독자
66,오리고기 ORIGOGI,"#버튜버, #Vtuber","1,200명(2.2%)
                ","
                54,000
              "
67,DS Gameplay,"#Gameplay, #Going","1,200명(1.8%)
                ","
                68,500
              "
68,쿡언니네 cookunnyne,"#쿡언니네, #아내의식탁","1,200명(1.7%)
                ","
                69,000
              "
69,수상한 암세포 _ Amsepo,"#암세포, #animation","1,200명(1.6%)
                ","
                74,100
              "
70,근성왕 겜마톡,"#메이플, #메이플스토리","1,199명(2.8%)
                ","
                43,099
              "
71,터닝포인트 - 위대한 성공의 시작점,"#동기부여, #성공","1,100명(9.8%)
                ","
                11,200
              "
72,Breastfeeding Sweet $€ Happy everyday  Official,"#Breastfeeding, #Sweet","1,100명(8.3%)
                ","
                13,200
              "
73,CukiNCrim,"#Minecraft, #Noteblock","1,100명(4.7%)
                ","
                23,200
              "
74,보짱Bozzang,"#대학생, #grwm","1,100명(4%)
                ","
                27,500
              "
75,골쿡,"#골프레슨, #골프","1,000명(5.8%)
                ","
                17,200
              "
76,작심만일 : 성공 마인드 동반자,"#동기부여, #자기계발","1,000명(5%)
                ","
                20,200
              "
77,김치김치쿵쿵따,"#엔시티드림, #엔시티","1,000명(3.5%)
                ","
                28,900
              "
78,"여가네 / 여경래, 박은영 셰프","#여경래, #박은영","1,000명(3.4%)
                ","
                29,300
              "
79,JTBC Music,"#슈퍼밴드2, #음악","1,000명(2.6%)
                ","
                39,200
              "
80,ㅎㅎ,,"1,000명(2.2%)
                ","
                44,900
              "
81,츄는 너무 귀엽츄,,"1,000명(1.9%)
                ","
                51,800
              "
82,Hyundai N Worldwide,"#i30N, #VelosterN","1,000명(1.7%)
                ","
                60,000
              "
83,홍동심tv,"#지리산, #보라빛엽서, #임영웅, #설운도, #오카리나, #휘파람","1,000명(1.6%)
                ","
                60,900
              "
84,이동훈 박사의 뼈있는 이야기,"#이동훈, #키크는수술","1,000명(1.6%)
                ","
                61,100
              "
85,[중탄소년단] 구독자 2.6만명 만들기,,"998명(4%)
                ","
                25,099
              "
86, Funny Funny TV,,"901명(3.1%)
                ","
                28,700
              "
87,선시티 5스타,"#키토바이옴, #키토제닉","900명(3.4%)
                ","
                26,700
              "
88,스테이지박스 / STAGE BOX,"#라이브, #Live","900명(2.6%)
                ","
                34,400
              "
89,한화생명,"#한화생명, #보험","900명(2.6%)
                ","
                34,900
              "
90,Soo Choi,,"899명(6.5%)
                ","
                13,899
              "
91,슈돌,"#슈돌, #인기급상승동영상","899명(3.6%)
                ","
                25,299
              "
92,김경재방송,"#김경재, #김경재방송","890명(8.9%)
                ","
                10,000
              "
93,홍티나,,"801명(6.6%)
                ","
                12,100
              "
94,먹갱_Mukgang,"#먹갱, #먹방","801명(1.6%)
                ","
                51,400
              "
95,연변 웃긴 영상 총집합,,"800명(6.1%)
                ","
                13,100
              "
96,현쥐팥쥐,"#05년생, #03년생","800명(6%)
                ","
                13,300
              "
97,hpmakeup 심화평,"#메이크업, #makeup","800명(4.9%)
                ","
                16,200
              "
98,Ayako's  Channel,#北海道,"800명(4.9%)
                ","
                16,200
              "
99,뚝딱뚝딱계란씨,"#저녁메뉴, #일주일집밥","800명(4.5%)
                ","
                17,600
              "
100,라오스 행동대장,"#라오스, #라오스","800명(4.3%)
                ","
                18,800
              "
101,샤를의 군사연구소,"#샤를, #샤를세환","800명(3.6%)
                ","
                22,400
              "
102,너굴경제,"#경제, #투자","800명(3.3%)
                ","
                24,400
              "
103,태양우주맘,"#주방템, #살림템","800명(2.4%)
                ","
                33,700
              "
104,펄이지엥 Pearlysien,"#브이로그, #vlog","800명(2.3%)
                ","
                34,700
              "
105,시로Siro,"#시로, #Siro","800명(1.9%)
                ","
                43,000
              "
106,"키키TV, 전지적 예능 시점","#키키TV, #방송국PD","800명(1.9%)
                ","
                43,000
              "
107,SOHN ASMR,"#mukbang, #asmr","800명(1.7%)
                ","
                48,000
              "
108,다인이다인,,"800명(1.5%)
                ","
                51,700
              "
109,모칠레로Mochilero,"#세계여행, #아프리카여행","700명(5.5%)
                ","
                12,700
              "
110,우아 ooa,"#의대생, #브이로그","700명(5.1%)
                ","
                13,600
              "
111,샐리 -길바닥 댄서- Sally the Street Dancer,"#샐리, #방서영","700명(3.7%)
                ","
                18,800
              "
112,강사장 owner kang ღ,,"700명(3.3%)
                ","
                20,900
              "
113,뉴스탓,,"700명(3.3%)
                ","
                21,300
              "
114,당뇨병의 정석,"#당뇨, #대한당뇨병학회","700명(3.3%)
                ","
                21,300
              "
115,Withing Korea,"#여행, #韓國導遊","700명(2.5%)
                ","
                28,400
              "
116,박효진장로,"#박효진장로, #간증","700명(1.9%)
                ","
                36,200
              "
117,MISSDICA,,"700명(1.9%)
                ","
                37,300
              "
118,소림사 주방장 Bom Song,"#vlog, #mukbang","700명(1.9%)
                ","
                37,700
              "
119,호걸언니_이경실,"#이경실유튜브, #원조센언니","700명(1.7%)
                ","
                40,100
              "
120,Hello Vehicle,"#토이, #장난감","699명(6.2%)
                ","
                11,299
              "
121,Sahee Actress TV,"#Kpop, #Kdrama","699명(2.5%)
                ","
                27,599
              "
122,주식하는강이사,"#주식강의, #강이사","699명(2.3%)
                ","
                30,299
              "
123,‘Mr스크류바,,"601명(2.6%)
                ","
                23,200
              "
124,랑쯔,"#리니지2m, #미르4","601명(2.1%)
                ","
                28,200
              "
125,San Thit Entertainment,"#ထ, #ထ","600명(5.1%)
                ","
                11,800
              "
126,크립토 노마드,"#비트코인, #이더리움","600명(3%)
                ","
                19,800
              "
127,파쿠르 선수 김주성,"#파쿠르, #Parkour","600명(3%)
                ","
                20,000
              "
128,오마이갓-백두산,"#미어캣, #야생동물","600명(2.8%)
                ","
                21,800
              "
129,Piyuchino 삐유치노,,"600명(2.5%)
                ","
                23,800
              "
130,터보롤리알밤이 Turbo&Rolly&Albam,"#jindodog, #강아지","600명(2.2%)
                ","
                27,100
              "
131,탈골스윙 서원힐스 골프통,,"600명(2.2%)
                ","
                27,500
              "
132,이사*Ysa Kpop,,"600명(2%)
                ","
                30,400
              "
133,애국방송 짤방,"#동영상, #Shorts","600명(1.8%)
                ","
                33,300
              "
134,밍갱티비,"#04년생, #헬린이","600명(1.8%)
                ","
                33,300
              "
135,DMT PARK,"#수학, #knowledge","600명(1.8%)
                ","
                34,200
              "
136,트로트 메들리 모음,"#홍진영, #트로트","600명(1.7%)
                ","
                34,800
              "
137,원더맨 WonderMan,"#실험카메라, #사회실험","600명(1.7%)
                ","
                34,900
              "
138,더샵TV,"#더샵, #포스코건설","600명(1.6%)
                ","
                37,400
              "
139,Hailey _Your Korean Friend,"#Korean, #Hangul","600명(1.6%)
                ","
                37,900
              "
140,쓱싹,"#쓱싹, #엔지니어","599명(3.7%)
                ","
                16,299
              "
141,WinnerZone World,"#kpop, #girlgroup","599명(2.4%)
                ","
                25,299
              "
142,픽고 PickGo,"#웹드라마, #플레이리스트","501명(1.9%)
                ","
                25,800
              "
143,무비건조,"#영화, #넷플릭스","501명(1.8%)
                ","
                28,100
              "
144,무언가 無言歌,"#클래식, #클래식","501명(1.8%)
                ","
                28,300
              "
145,류하리 / Hari Ryu 【NIJISANJI KR】,"#VTuber, #니지산지","500명(3.7%)
                ","
                13,400
              "
146,차카게살자,"#허위매물, #콧털형님","500명(3.5%)
                ","
                14,200
              "
147,sogyo table 소교식탁TV,,"500명(3.2%)
                ","
                15,700
              "
148,KBS실험실,,"500명(2.8%)
                ","
                17,700
              "
149,재미난과학,"#인덕션, #재미난","500명(2.7%)
                ","
                18,400
              "
150,미스터원의 필리핀 라이프Mr Won,"#필리핀, #미스터원","500명(2.2%)
                ","
                22,400
              "
151,카라밸 Car - Life - Balance,"#카라벨, #자동차","500명(2%)
                ","
                24,400
              "
152,독학골퍼의 레슨리뷰 John's Golf Channel,"#골프, #골프","500명(2%)
                ","
                24,700
              "
153,HoonDooTV 훈두TV,"#Hoondootv, #hoondoo","500명(2%)
                ","
                25,400
              "
154,BANGTAN MUSIC,,"500명(1.9%)
                ","
                26,100
              "
155,REA:TIC[리틱],"#리틱, #리아틱","500명(1.8%)
                ","
                27,200
              "
156,한치호 / Chiho Han【NIJISANJI KR】,"#nijisanjikr, #Nijisanji","500명(1.8%)
                ","
                28,400
              "
157,융나YoongNa,"#영어회화, #미국스벅","500명(1.7%)
                ","
                28,700
              "
158,"Dares, 프로복서가 들려주는 진짜 복싱이야기","#복싱, #권투","500명(1.6%)
                ","
                31,000
              "
159,DIY Today's Sewing & Embroidery,"#Sewing, #diy","500명(1.6%)
                ","
                31,500
              "
160,offweb,"#플레이리스트, #광고없는","500명(1.6%)
                ","
                31,900
              "
161,MINJYE 민졔,"#speedpainting, #스피드페인팅","500명(1.5%)
                ","
                33,000
              "
162,유미유미TV,"#곽동수tv, #이송원tv","401명(3.4%)
                ","
                11,800
              "
163,오지유 / Jiyu Oh 【NIJISANJI KR】,"#오지유, #PREELIVE","401명(2.8%)
                ","
                14,300
              "
164,우나이퍼TV,"#우상호TV, #박지희","401명(1.7%)
                ","
                23,000
              "
165,Tyongeee 툥이,,"401명(1.7%)
                ","
                23,200
              "
166,유우성의입터뷰,"#유우성, #파이터","401명(1.6%)
                ","
                25,700
              "
167,부추TV - BoochuTV,"#브롤, #브롤스타즈","400명(2.8%)
                ","
                14,400
              "
168,눈팅 nunting,,"400명(2.8%)
                ","
                14,400
              "
169,양나리 / Nari Yang 【NIJISANJI KR】,"#VTuber, #니지산지","400명(2.6%)
                ","
                15,300
              "
170,BLACKPINK Fan Club,"#blackpink, #YG","400명(2.5%)
                ","
                15,900
              "
171,원피스 월드,"#원피스, #원피스","400명(2.4%)
                ","
                16,400
              "
172,서경방송Ent,"#서경방송, #트로트","400명(2.2%)
                ","
                17,900
              "
173,오늘하루 심슨,,"400명(2.2%)
                ","
                18,500
              "
174,Seoul Trip Walk,"#korea, #seoul","400명(2.1%)
                ","
                19,200
              "
175,DALNA달나,"#신생아, #성장기록","400명(1.9%)
                ","
                20,800
              "
176,Hanbit Cho,"#조한빛, #hanbitcho","400명(1.9%)
                ","
                21,200
              "
177,짧은 영상 채널 shorts video channel,,"400명(1.9%)
                ","
                21,300
              "
178,蕭伊소이,,"400명(1.9%)
                ","
                21,300
              "
179,PBA TV,"#당구, #프로당구","400명(1.8%)
                ","
                22,300
              "
180,Zayed hong,"#كوريا, #كوري","400명(1.8%)
                ","
                22,300
              "
181,소사주 sosaju,"#줌마다이어트, #줌마요가","400명(1.7%)
                ","
                23,700
              "
182,용설tv yongseoltv,"#바위솔, #Sempervivum","400명(1.7%)
                ","
                24,000
              "
183,멘탈훈련소,"#동기부여, #공부자극","400명(1.6%)
                ","
                24,600
              "
184,단커피,"#해외뉴스, #할리우드","400명(1.6%)
                ","
                25,400
              "
185,하루 종합 뉴스,"#박근혜, #이재용","400명(1.5%)
                ","
                25,900
              "
186,차봤서영 Ssawyoung,"#자동차, #차봤서영","400명(1.5%)
                ","
                26,600
              "
187,하준 HaJoon,"#이거맞아, #어수룩남친","399명(1.6%)
                ","
                25,099
              "
188,EB WORLD 이비월드,"#EB, #최은빈","320명(3.1%)
                ","
                10,300
              "
189,카다기 CARDOCi,"#카닥, #곤잘로","300명(2.9%)
                ","
                10,300
              "
190, ᴢ ᴀ ʀ ɢ ɪ 자르기,,"300명(2.7%)
                ","
                11,100
              "
191,우상준,"#우상준, #개그","300명(2.7%)
                ","
                11,200
              "
192,무쇠투망MuSSe[Korea cast net],"#VLLO, #투망","300명(2.6%)
                ","
                11,500
              "
193,이송경,"#이송경, #송경","300명(2.5%)
                ","
                12,000
              "
194,러닝해영 [운동하며 여행하는 여자],"#운동하는여자, #운동","300명(2.5%)
                ","
                12,100
              "
195,슬기로운 바다투망,"#투망낚시, #바다투망","300명(2.4%)
                ","
                12,500
              "
196,마시멜로블,#로블록스,"300명(2.2%)
                ","
                13,400
              "
197,오늘은영 YOUNG,"#화성인자매, #숏걸","300명(2.1%)
                ","
                14,000
              "
198,백문부동산 - 문소장,"#전국, #토지","300명(2.1%)
                ","
                14,400
              "
199,정신못차린 취준생,"#고양이, #새끼고양이, #아기고양이, #길냥이, #오드아이, #하얀고양이, #냥줍, #냥, #냥이, #집사, #냥냥충, #떼껄룩, #간택, #참치, #고양이짝짖기, #알수없는알고리즘","300명(2.1%)
                ","
                14,500
              "
200,Prince Lemon,"#softbox, #akonya","300명(2%)
                ","
                14,800
              "
201,백나른의 로블록스,"#로블록스, #킹피스","300명(2%)
                ","
                15,300
              "
202,엔조이부부 존버단,"#엔조이커플, #enjoycouple","300명(1.9%)
                ","
                15,500
              "
203,Mukbang Yomi,,"300명(1.8%)
                ","
                17,100
              "
204,고성균의 장군! 멍군!,,"300명(1.7%)
                ","
                17,200
              "
205,임기자의 생생지락TV,"#고양이, #집사","300명(1.7%)
                ","
                17,600
              "
206,맛기행tv,"#한국음식탐방, #부부맛집탐방","300명(1.7%)
                ","
                17,900
              "
207,WEALLLIKE 위올라이크,"#패션채널, #음악채널","300명(1.7%)
                ","
                18,000
              "
208,이현준,,"300명(1.6%)
                ","
                18,300
              "
209,워쳐스클럽 Watchers Club,"#Seoul, #seoul4k","300명(1.6%)
                ","
                18,400
              "
210,나바나,"#코난, #포켓몬","300명(1.6%)
                ","
                19,000
              "
211,Master Yone 릉빵이,"#릉빵, #릉빵이","300명(1.6%)
                ","
                19,300
              "
212,23살이왜그럴까,,"300명(1.5%)
                ","
                19,800
              "
213,핑크츄 만들기 Pinkchu DIY,"#Diy, #무료도안공유","300명(1.5%)
                ","
                19,900
              "
214,노래한모금모금,"#일본노래, #일본곡","299명(2.6%)
                ","
                11,299
              "
215,박투신,"#박투신, #투신","299명(1.8%)
                ","
                16,299
              "
216,Insecteller,"#충왕전, #사슴벌레","201명(1.7%)
                ","
                11,500
              "
217,먹지희Mukjihee,,"201명(1.7%)
                ","
                11,600
              "
218,김요한 저장소,,"200명(2%)
                ","
                10,200
              "
219,용팔이 훈련소,"#용팔이, #용팔이","200명(1.9%)
                ","
                10,300
              "
220,찬스의 스타 - 이찬원,,"200명(1.9%)
                ","
                10,500
              "
221,신기루 / Kiru Shin 【NIJISANJI KR】,"#니지산지KR, #NIJISANJI","200명(1.9%)
                ","
                10,500
              "
222,거발한,"#노래, #뮤직","200명(1.9%)
                ","
                10,500
              "
223,day채니하우스,"#일상브이로그, #요리브이로그","200명(1.9%)
                ","
                10,500
              "
224,소방관마술사 검색,"#소방관마술사, #마술","200명(1.9%)
                ","
                10,600
              "
225,HOTNEWS TV,"#Tuấn, #Bích","200명(1.9%)
                ","
                10,700
              "
226,임용한TV,"#임용한, #전쟁사","200명(1.9%)
                ","
                10,800
              "
227,Chosunbiz,"#조선비즈, #a","200명(1.9%)
                ","
                10,800
              "
228,FANTOO TV,"#수잔, #타쿠야","200명(1.8%)
                ","
                11,100
              "
229,Learn Chinese Essentials,"#HSK, #Learn","200명(1.8%)
                ","
                11,100
              "
230,4K SEOUL,"#SEOUL, #Korea","200명(1.8%)
                ","
                11,200
              "
231,Músicas Gospel Top,"#Gospel, #gospel","200명(1.8%)
                ","
                11,200
              "
232,헤이딜러,"#헤이딜러, #헤이딜러후기","200명(1.8%)
                ","
                11,200
              "
233,코지 COSY,"#eating, #sound","200명(1.7%)
                ","
                11,700
              "
234,윤꾼의  북킹부킹,"#북킹부킹, #윤꾼","200명(1.7%)
                ","
                11,700
              "
235,생각_think,"#생각, #재태크","200명(1.7%)
                ","
                11,800
              "
236,두둥튜브DODUNG,"#래빗벙커, #두둥","200명(1.7%)
                ","
                11,800
              "
237,뷰티타임 (Beauty Time),"#화장품, #코스메틱","200명(1.7%)
                ","
                12,100
              "
238,발키리,"#애니메이션, #귀멸의칼날","200명(1.6%)
                ","
                12,300
              "
239,에브리데이 신주아,"#태국, #태국","200명(1.6%)
                ","
                12,500
              "
240,아케이드키드,"#엑스박스, #PS4","200명(1.6%)
                ","
                12,500
              "
241,디자인을담다 클라이언트 업로드용 계정,"#필터퀸, #크린라이프","200명(1.6%)
                ","
                12,600
              "
242,신민정 Shin Min Jeong,"#Blender3D, #b3d","200명(1.6%)
                ","
                12,600
              "
243,Jay in Korea,"#jay, #korea","200명(1.6%)
                ","
                12,800
              "
244,최피디의 전설의고향,,"200명(1.6%)
                ","
                12,800
              "
245,긴펄,,"200명(1.5%)
                ","
                13,100
              "
246,보현도령-대륜학당 010-8525-1588,#vivavideo,"200명(1.5%)
                ","
                13,100
              "
247,baenyebe™,"#LOONA, #Kpop","200명(1.5%)
                ","
                13,200
              "
248,망선생,"#비행기게임, #비행시뮬레이션","200명(1.5%)
                ","
                13,200
              "
249,프로들의 습관,"#오너, #정글","200명(1.5%)
                ","
                13,200
              "
250,김초월,"#chowol, #cover","199명(1.7%)
                ","
                11,399
              "
